"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16012","@regression [AUTH-DD-003] login email=""notanemail""","mobile-chrome","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","2211","@smoke login page loads","webkit","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","2511","@regression [AUTH-DD-001] login email=""user@nhathuoc-mc.vn""","mobile-chrome","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","1828","@regression valid credentials → dashboard","mobile-chrome","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","4251","@smoke @critical login redirects to dashboard","webkit","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","17262","@regression invalid password → error message","chromium","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","16628","@regression empty password → validation error","firefox","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","25674","@regression [AUTH-DD-002] login email=""wrong@example.com""","firefox","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","1327","@smoke login page loads","smoke","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","200","@api @smoke GET /users returns array","firefox","2026-04-14","passed","2026-04-14","Users API","api/users.api.spec.ts","",""
"","2265","@regression logout clears session","chromium","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","21959","@regression [AUTH-DD-004] login email=""""","webkit","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","9635","@regression valid credentials → dashboard","webkit","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
