"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","210","@api @smoke GET /users returns array","webkit","2026-04-14","passed","2026-04-14","Users API","api/users.api.spec.ts","",""
"","22186","@regression [AUTH-DD-003] login email=""notanemail""","webkit","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","20178","@regression [AUTH-DD-002] login email=""wrong@example.com""","mobile-chrome","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","13841","@regression [AUTH-DD-001] login email=""user@nhathuoc-mc.vn""","firefox","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","1208","@smoke login page loads","smoke","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","22391","@regression [AUTH-DD-004] login email=""""","webkit","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","5740","@regression logout clears session","mobile-chrome","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","2248","@smoke login page loads","firefox","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","3065","@smoke @critical login redirects to dashboard","firefox","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","8306","@regression [AUTH-DD-001] login email=""user@nhathuoc-mc.vn""","webkit","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","4443","@smoke @critical login redirects to dashboard","webkit","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","16658","@regression empty password → validation error","firefox","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","19599","@regression [AUTH-DD-004] login email=""""","firefox","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","5303","@regression valid credentials → dashboard","chromium","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","21506","@regression [AUTH-DD-002] login email=""wrong@example.com""","chromium","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","2484","@smoke @critical login redirects to dashboard","smoke","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","6451","@regression valid credentials → dashboard","firefox","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","17796","@regression [AUTH-DD-003] login email=""notanemail""","chromium","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","21623","@regression invalid password → error message","mobile-chrome","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","11472","@regression valid credentials → dashboard","webkit","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","443","@api GET /users/:id returns specific user","firefox","2026-04-14","passed","2026-04-14","Users API","api/users.api.spec.ts","",""
"","701","@smoke login page loads","mobile-chrome","2026-04-14","passed","2026-04-14","Auth Smoke","smoke/auth.smoke.spec.ts","",""
"","4250","@regression logout clears session","chromium","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","19904","@regression empty password → validation error","webkit","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","18389","@regression empty password → validation error","mobile-chrome","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","18065","@regression [AUTH-DD-004] login email=""""","mobile-chrome","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","25794","@regression [AUTH-DD-002] login email=""wrong@example.com""","firefox","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","2401","@regression logout clears session","firefox","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","22696","@regression invalid password → error message","webkit","2026-04-14","passed","2026-04-14","Login","regression/auth/login.spec.ts","",""
"","4984","@regression [AUTH-DD-001] login email=""user@nhathuoc-mc.vn""","chromium","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
"","315","@api GET /users/:id returns specific user","webkit","2026-04-14","passed","2026-04-14","Users API","api/users.api.spec.ts","",""
"","17727","@regression [AUTH-DD-003] login email=""notanemail""","mobile-chrome","2026-04-14","passed","2026-04-14","Login Data-Driven","regression/auth/login-data-driven.spec.ts","",""
